.structGen1LoveEntry 0,Sigurd,Naoise,Alec,Arden,Finn,Quan,Midir,Lewyn,Chulainn,Azelle,Jamke,Claud,Beowolf,Lex,Dew
Sigurd,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Naoise,,-5,0,0,0,-1,0,0,5,0,0,10,5,0,0
Alec,,,-5,0,0,-1,0,0,5,0,0,10,5,0,0
Arden,,,,-5,0,-1,0,0,5,0,0,10,5,0,0
Finn,,,,,-5,-1,0,0,5,0,0,18,5,0,0
Quan,,,,,,-5,-1,-1,-1,-1,-1,-1,-1,-1,-1
Midir,,,,,,,-5,0,5,0,0,15,5,0,0
Lewyn,,,,,,,,-5,5,5,5,10,5,5,5
Chulainn,,,,,,,,,-5,0,0,10,5,0,0
Azelle,,,,,,,,,,-5,0,10,5,0,0
Jamke,,,,,,,,,,,-5,10,5,5,5
Claud,,,,,,,,,,,,-5,10,10,10
Beowolf,,,,,,,,,,,,,-5,0,0
Lex,,,,,,,,,,,,,,-5,0
Dew,,,,,,,,,,,,,,,-5
