.structGen1LoveEntry 0,Sigurd,Naoise,Alec,Arden,Finn,Quan,Midir,Lewyn,Chulainn,Azelle,Jamke,Claud,Beowolf,Lex,Dew
Sigurd,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naoise,,-5,2,2,2,0,2,2,2,2,2,3,3,2,2
Alec,,,-5,2,2,0,2,2,2,2,2,3,2,2,2
Arden,,,,-5,2,0,2,2,2,2,2,2,2,2,2
Finn,,,,,-5,0,2,2,2,2,2,10,2,2,2
Quan,,,,,,-5,0,0,0,0,0,0,0,0,0
Midir,,,,,,,-5,2,2,2,2,4,3,3,3
Lewyn,,,,,,,,-5,2,2,2,3,2,2,2
Chulainn,,,,,,,,,-5,2,2,3,2,2,2
Azelle,,,,,,,,,,-5,2,3,2,2,2
Jamke,,,,,,,,,,,-5,3,2,2,2
Claud,,,,,,,,,,,,-5,2,2,2
Beowolf,,,,,,,,,,,,,-5,2,2
Lex,,,,,,,,,,,,,,-5,2
Dew,,,,,,,,,,,,,,,-5
