.structGen2LoveEntry 0,Seliph,Shannan,Dalvin,Asaello,Leif,Iuchar,Charlot,Hawk,Tristan,AdultFinn,Deimne,Hannibal,Ares,Amid,Oifey,Iucharba,Scathach,Febail,Coirpre,Ced,Diarmuid,Lester,Arthur
Seliph,-1,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0
Shannan,,-1,10,0,0,0,0,0,0,-1,0,-1,0,0,0,0,10,0,0,0,0,0,0
Dalvin,,,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,0
Asaello,,,,-1,0,0,0,0,0,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,0
Leif,,,,,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0
Iuchar,,,,,,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0
Charlot,,,,,,,-1,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,0
Hawk,,,,,,,,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0
Tristan,,,,,,,,,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0
AdultFinn,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Deimne,,,,,,,,,,,-1,-1,0,0,0,0,0,0,0,0,0,0,0
Hannibal,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Ares,,,,,,,,,,,,,-1,0,0,0,0,0,0,0,0,0,0
Amid,,,,,,,,,,,,,,-1,0,0,0,0,0,0,0,0,0
Oifey,,,,,,,,,,,,,,,-1,0,0,0,0,0,0,0,0
Iucharba,,,,,,,,,,,,,,,,-1,0,0,0,0,0,0,0
Scathach,,,,,,,,,,,,,,,,,-1,0,0,0,0,0,0
Febail,,,,,,,,,,,,,,,,,,-1,0,0,0,0,0
Coirpre,,,,,,,,,,,,,,,,,,,-1,0,0,0,0
Ced,,,,,,,,,,,,,,,,,,,,-1,0,0,0
Diarmuid,,,,,,,,,,,,,,,,,,,,,-1,0,0
Lester,,,,,,,,,,,,,,,,,,,,,,-1,0
Arthur,,,,,,,,,,,,,,,,,,,,,,,-1
