.structGen2LoveEntry 0,Daisy,Creidne,Muirne,Julia,Altena,Hermina,Linda,Laylea,Jeanne,Patty,Larcei,Lana,Fee,Tine,Lene,Nanna
Daisy,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0
Creidne,,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0
Muirne,,,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,0
Julia,,,,-1,-1,0,0,0,0,0,0,0,0,0,0,0
Altena,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Hermina,,,,,,-1,0,0,0,0,0,0,-1,0,0,0
Linda,,,,,,,-1,0,0,0,0,0,0,-1,0,0
Laylea,,,,,,,,-1,0,0,0,0,0,0,-1,2
Jeanne,,,,,,,,,-1,0,0,0,0,0,0,-1
Patty,,,,,,,,,,-1,0,0,0,0,0,0
Larcei,,,,,,,,,,,-1,0,0,0,0,0
Lana,,,,,,,,,,,,-1,0,0,0,0
Fee,,,,,,,,,,,,,-1,0,0,0
Tine,,,,,,,,,,,,,,-1,0,0
Lene,,,,,,,,,,,,,,,-1,0
Nanna,,,,,,,,,,,,,,,,-1
