.structGen2LoveEntry 0,Seliph,Shannan,Dalvin,Asaello,Leif,Iuchar,Charlot,Hawk,Tristan,AdultFinn,Deimne,Hannibal,Ares,Amid,Oifey,Iucharba,Scathach,Febail,Coirpre,Ced,Diarmuid,Lester,Arthur
Seliph,-5,2,2,3,-5,2,2,3,2,-5,2,-5,3,2,-5,2,2,3,2,3,2,2,2
Shannan,,-5,-5,3,2,2,2,3,2,-5,2,-5,2,2,2,2,-5,3,2,3,2,2,2
Dalvin,,,-5,3,2,2,2,3,2,-5,2,-5,2,2,2,2,-5,3,3,3,2,-5,2
Asaello,,,,-5,3,3,2,3,3,-5,3,-5,3,3,3,3,3,-5,3,3,3,3,3
Leif,,,,,-5,-5,2,3,2,-5,2,-5,2,2,-5,2,2,3,2,3,2,2,2
Iuchar,,,,,,-5,2,3,2,-5,2,-5,2,2,2,2,2,3,2,3,2,2,2
Charlot,,,,,,,0,3,3,-5,3,-5,3,2,2,2,2,3,-5,3,3,3,3
Hawk,,,,,,,,-5,3,-5,3,-5,3,3,3,3,3,-5,3,-5,2,2,2
Tristan,,,,,,,,,-5,-5,2,-5,2,2,2,2,2,3,2,3,-5,2,2
AdultFinn,,,,,,,,,,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
Deimne,,,,,,,,,,-5,-5,-5,2,2,2,2,-5,3,2,3,2,-5,2
Hannibal,,,,,,,,,,,,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
Ares,,,,,,,,,,,,,-5,2,2,2,2,3,2,3,2,2,2
Amid,,,,,,,,,,,,,,-5,3,3,3,3,3,3,3,3,-5
Oifey,,,,,,,,,,,,,,,-5,2,2,2,-5,3,2,2,2
Iucharba,,,,,,,,,,,,,,,,-5,2,3,2,3,2,2,2
Scathach,,,,,,,,,,,,,,,,,-5,2,2,3,2,2,2
Febail,,,,,,,,,,,,,,,,,,-5,3,3,3,3,3
Coirpre,,,,,,,,,,,,,,,,,,,-5,3,2,2,2
Ced,,,,,,,,,,,,,,,,,,,,-5,3,3,3
Diarmuid,,,,,,,,,,,,,,,,,,,,,-5,2,2
Lester,,,,,,,,,,,,,,,,,,,,,,-5,2
Arthur,,,,,,,,,,,,,,,,,,,,,,,-5
