.structGen2LoveEntry 0,Daisy,Creidne,Muirne,Julia,Altena,Hermina,Linda,Laylea,Jeanne,Patty,Larcei,Lana,Fee,Tine,Lene,Nanna
Daisy,-5,2,2,0,-5,2,2,3,2,-5,2,2,2,3,2,2
Creidne,,-5,2,0,-5,2,2,3,2,2,-5,2,2,3,2,2
Muirne,,,-5,0,-5,2,3,3,2,2,2,-5,2,3,2,2
Julia,,,,-5,-5,0,0,0,0,0,0,0,0,0,0,0
Altena,,,,,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
Hermina,,,,,,-5,2,2,2,2,2,2,-5,3,2,2
Linda,,,,,,,-5,3,3,3,3,3,3,-5,2,3
Laylea,,,,,,,,-5,2,2,2,2,2,3,-5,2
Jeanne,,,,,,,,,-5,2,2,2,2,3,2,-5
Patty,,,,,,,,,,-5,2,2,2,3,2,2
Larcei,,,,,,,,,,,-5,2,2,3,2,2
Lana,,,,,,,,,,,,-5,2,3,2,2
Fee,,,,,,,,,,,,,-5,3,2,2
Tine,,,,,,,,,,,,,,-5,2,3
Lene,,,,,,,,,,,,,,,-5,2
Nanna,,,,,,,,,,,,,,,,-5
