.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,LombardCh03,46,59,1,3,FS_Ch03DozelFriege,0
ID_02,Grauritter1,45,59,0,3,FS_Ch03DozelFriege,1
ID_03,Grauritter1,47,59,0,3,FS_Ch03DozelFriege,2
ID_04,Grauritter1,46,58,0,3,FS_Ch03DozelFriege,3
ID_05,Grauritter1,45,58,0,3,FS_Ch03DozelFriege,4
ID_06,Grauritter1,47,58,0,3,FS_Ch03DozelFriege,5
ID_07,Grauritter1,44,59,0,3,FS_Ch03DozelFriege,6
ID_08,Grauritter1,48,59,0,3,FS_Ch03DozelFriege,7
ID_09,Grauritter1,44,58,0,3,FS_Ch03DozelFriege,8
ID_10,Grauritter1,48,58,0,3,FS_Ch03DozelFriege,9
ID_11,Grauritter1,43,59,0,3,FS_Ch03DozelFriege,10
ID_12,Grauritter1,49,59,0,3,FS_Ch03DozelFriege,11
ID_13,Grauritter1,43,58,0,3,FS_Ch03DozelFriege,12
ID_14,Grauritter1,49,58,0,3,FS_Ch03DozelFriege,13
ID_15,Grauritter1,42,59,0,3,FS_Ch03DozelFriege,14
ID_16,Grauritter1,50,59,0,3,FS_Ch03DozelFriege,15
ID_17,Grauritter1,42,58,0,3,FS_Ch03DozelFriege,16
ID_18,Grauritter1,50,58,0,3,FS_Ch03DozelFriege,17
ID_19,ReptorCh03,42,62,1,2,FS_Ch03DozelFriege,19
ID_20,Gelbritter1,41,62,0,2,FS_Ch03DozelFriege,1
ID_21,Gelbritter1,43,62,0,2,FS_Ch03DozelFriege,2
ID_22,Gelbritter1,42,61,0,2,FS_Ch03DozelFriege,3
ID_23,Gelbritter1,41,61,0,2,FS_Ch03DozelFriege,4
ID_24,Gelbritter1,43,61,0,2,FS_Ch03DozelFriege,5
ID_25,Gelbritter1,40,62,0,2,FS_Ch03DozelFriege,6
ID_26,Gelbritter1,44,62,0,2,FS_Ch03DozelFriege,7
ID_27,Gelbritter1,40,61,0,2,FS_Ch03DozelFriege,8
ID_28,Gelbritter1,44,61,0,2,FS_Ch03DozelFriege,9
ID_29,Gelbritter1,42,60,0,2,FS_Ch03DozelFriege,10
ID_30,Gelbritter1,45,62,0,2,FS_Ch03DozelFriege,11
ID_31,Gelbritter1,41,60,0,2,FS_Ch03DozelFriege,12
ID_32,Gelbritter1,45,61,0,2,FS_Ch03DozelFriege,13
ID_33,Gelbritter1,43,60,0,2,FS_Ch03DozelFriege,14
ID_34,Gelbritter1,40,60,0,2,FS_Ch03DozelFriege,16
ID_35,Gelbritter1,44,60,0,2,FS_Ch03DozelFriege,17
ID_36,Gelbritter1,39,61,0,1,FS_Ch03DozelFriege,0
ID_37,Gelbritter1,39,62,0,1,FS_Ch03DozelFriege,0
ID_38,$FFFF,0,0,0,0,0,0
