.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Commander20,16,43,0,4,FS_Ch05Belhalla,0
ID_02,Rotritter2,15,43,0,4,FS_Ch05Belhalla,0
ID_03,Rotritter2,14,43,0,4,FS_Ch05Belhalla,0
ID_04,Rotritter2,13,43,0,4,FS_Ch05Belhalla,0
ID_05,Rotritter2,12,43,0,4,FS_Ch05Belhalla,0
ID_06,Rotritter2,11,43,0,4,FS_Ch05Belhalla,0
ID_07,Rotritter2,10,43,0,4,FS_Ch05Belhalla,0
ID_08,Rotritter2,9,43,0,4,FS_Ch05Belhalla,0
ID_09,Rotritter2,8,43,0,4,FS_Ch05Belhalla,0
ID_10,Rotritter2,7,43,0,4,FS_Ch05Belhalla,0
ID_11,Rotritter2,16,45,0,4,FS_Ch05Belhalla,0
ID_12,Rotritter2,15,45,0,4,FS_Ch05Belhalla,0
ID_13,Rotritter2,14,45,0,4,FS_Ch05Belhalla,0
ID_14,Rotritter2,13,45,0,4,FS_Ch05Belhalla,0
ID_15,Rotritter2,12,45,0,4,FS_Ch05Belhalla,0
ID_16,Rotritter2,11,45,0,4,FS_Ch05Belhalla,0
ID_17,Rotritter2,10,45,0,4,FS_Ch05Belhalla,0
ID_18,Rotritter2,9,45,0,4,FS_Ch05Belhalla,0
ID_19,Rotritter2,8,45,0,3,FS_Ch05Belhalla,0
ID_20,Commander19,8,46,0,3,FS_Ch05Belhalla,0
ID_21,Commander19,8,47,0,3,FS_Ch05Belhalla,0
ID_22,Commander19,8,48,0,3,FS_Ch05Belhalla,0
ID_23,Commander19,8,49,0,3,FS_Ch05Belhalla,0
ID_24,Rotritter1,8,$32,0,3,FS_Ch05Belhalla,0
ID_25,ArvisPrologue,6,54,0,1,FS_Ch05Belhalla,0
ID_26,Rotritter1,4,46,0,3,FS_Ch05Belhalla,0
ID_27,Rotritter1,4,47,0,3,FS_Ch05Belhalla,0
ID_28,Rotritter1,4,48,0,3,FS_Ch05Belhalla,0
ID_29,Rotritter1,4,49,0,3,FS_Ch05Belhalla,0
ID_30,Rotritter1,4,50,0,3,FS_Ch05Belhalla,0
ID_31,Commander21,$07,$33,0,2,FS_Ch05Belhalla,0
ID_32,Rotritter3,7,52,0,2,FS_Ch05Belhalla,0
ID_33,Rotritter3,7,53,0,2,FS_Ch05Belhalla,0
ID_34,Rotritter3,5,51,0,2,FS_Ch05Belhalla,0
ID_35,Rotritter3,5,52,0,2,FS_Ch05Belhalla,0
ID_36,Rotritter3,5,53,0,2,FS_Ch05Belhalla,0
ID_37,$FFFF,0,0,0,0,0,0
