.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Ishtore,17,57,1,2,FS_Ch07Melgen,0
ID_02,MergenArmy1,17,60,0,2,FS_Ch07Melgen,1
ID_03,MergenArmy1,16,59,0,2,FS_Ch07Melgen,2
ID_04,MergenArmy1,18,59,0,2,FS_Ch07Melgen,3
ID_05,Raisa,17,55,1,1,FS_Ch07Melgen,0
ID_06,MergenArmy2,17,54,0,1,FS_Ch07Melgen,1
ID_07,MergenArmy6,16,55,0,1,FS_Ch07Melgen,2
ID_08,MergenArmy6,18,55,0,1,FS_Ch07Melgen,3
ID_09,MergenArmy3,15,54,0,1,FS_Ch07Melgen,4
ID_10,MergenArmy3,19,54,0,1,FS_Ch07Melgen,5
ID_11,MergenArmy3,13,53,0,1,FS_Ch07Melgen,6
ID_12,MergenArmy3,21,53,0,1,FS_Ch07Melgen,7
ID_13,MergenArmy3,13,52,0,1,FS_Ch07Melgen,8
ID_14,MergenArmy3,21,52,0,1,FS_Ch07Melgen,9
ID_15,MergenArmy7,14,54,0,1,FS_Ch07Melgen,10
ID_16,MergenArmy7,20,54,0,1,FS_Ch07Melgen,11
ID_17,MergenArmy4,12,53,0,1,FS_Ch07Melgen,12
ID_18,MergenArmy4,22,53,0,1,FS_Ch07Melgen,13
ID_19,MergenArmy4,12,52,0,1,FS_Ch07Melgen,14
ID_20,MergenArmy4,22,52,0,1,FS_Ch07Melgen,15
ID_21,MergenArmy5,16,54,0,1,FS_Ch07Melgen,16
ID_22,MergenArmy5,18,54,0,1,FS_Ch07Melgen,17
ID_23,DahnaArmy1,11,27,0,1,FS_Ch07Dahna,0
ID_24,DahnaArmy1,11,28,0,1,FS_Ch07Dahna,0
ID_25,DahnaArmy1,11,29,0,1,FS_Ch07Dahna,0
ID_26,DahnaArmy1,11,30,0,1,FS_Ch07Dahna,0
ID_27,$FFFF,0,0,0,0,0,0
