.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Kutuzov1,20,3,1,3,FS_Ch07Aed,0
ID_02,AedMage1,20,6,0,3,FS_Ch07Aed,1
ID_03,AedMage1,19,5,0,3,FS_Ch07Aed,2
ID_04,AedMage1,21,5,0,3,FS_Ch07Aed,3
ID_05,Commander23,51,53,1,1,FS_Ch07Ulster,0
ID_06,UlsterArmy2,52,53,0,1,FS_Ch07Ulster,1
ID_07,UlsterArmy1,51,52,0,1,FS_Ch07Ulster,2
ID_08,UlsterArmy1,52,52,0,1,FS_Ch07Ulster,3
ID_09,UlsterArmy1,51,51,0,1,FS_Ch07Ulster,4
ID_10,UlsterArmy1,52,51,0,1,FS_Ch07Ulster,5
ID_11,UlsterArmy1,51,50,0,1,FS_Ch07Ulster,6
ID_12,UlsterArmy1,52,50,0,1,FS_Ch07Ulster,7
ID_13,Bloom,51,55,1,7,FS_Ch07Ulster,0
ID_14,UlsterArmy3,51,58,0,7,FS_Ch07Ulster,1
ID_15,UlsterArmy3,50,57,0,7,FS_Ch07Ulster,2
ID_16,UlsterArmy3,52,57,0,7,FS_Ch07Ulster,3
ID_17,DahnaArmy1,17,31,0,1,FS_Ch07Dahna,0
ID_18,DahnaArmy1,18,31,0,1,FS_Ch07Dahna,0
ID_19,DahnaArmy1,19,31,0,1,FS_Ch07Dahna,0
ID_20,DahnaArmy1,20,31,0,1,FS_Ch07Dahna,0
ID_21,AedMage2,32,14,0,2,FS_Ch07Aed,0
ID_22,AedMage2,34,19,0,2,FS_Ch07Aed,0
ID_23,AedMage2,36,12,0,2,FS_Ch07Aed,0
ID_24,AedMage2,37,17,0,2,FS_Ch07Aed,0
ID_25,AedMage2,38,3,0,2,FS_Ch07Aed,0
ID_26,AedMage2,41,9,0,2,FS_Ch07Aed,0
ID_27,AedMage2,42,12,0,2,FS_Ch07Aed,0
ID_28,AedMage2,46,8,0,2,FS_Ch07Aed,0
ID_29,DahnaArmy1,26,54,0,4,FS_Ch07Dahna,0
ID_30,DahnaArmy1,28,59,0,4,FS_Ch07Dahna,0
ID_31,AedMage3,18,4,0,4,FS_Ch07Aed,0
ID_32,AedMage3,18,3,0,4,FS_Ch07Aed,0
ID_33,AedMage3,18,2,0,4,FS_Ch07Aed,0
ID_34,Mercenary7,17,3,0,4,FS_Ch07Aed,0
ID_35,Mercenary7,17,2,0,4,FS_Ch07Aed,0
ID_36,Mercenary7,18,1,0,4,FS_Ch07Aed,0
ID_37,AedMage3,22,8,0,4,FS_Ch07Aed,0
ID_38,Mercenary7,22,9,0,4,FS_Ch07Aed,0
ID_39,$FFFF,0,0,0,0,0,0
