.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Javarro,13,24,1,2,FS_Ch07Dahna,0
ID_02,Mercenary9,12,24,0,2,FS_Ch07Dahna,1
ID_03,Mercenary9,13,25,0,2,FS_Ch07Dahna,2
ID_04,Mercenary9,12,25,0,2,FS_Ch07Dahna,3
ID_05,Mercenary8,13,26,0,2,FS_Ch07Dahna,4
ID_06,Mercenary8,12,26,0,2,FS_Ch07Dahna,5
ID_07,Mercenary8,13,27,0,2,FS_Ch07Dahna,6
ID_08,Mercenary8,12,27,0,2,FS_Ch07Dahna,7
ID_09,Mercenary8,13,28,0,2,FS_Ch07Dahna,8
ID_10,Mercenary8,12,28,0,2,FS_Ch07Dahna,9
ID_11,Mercenary8,13,29,0,2,FS_Ch07Dahna,10
ID_12,Mercenary8,12,29,0,2,FS_Ch07Dahna,11
ID_13,Bramsel,15,22,1,3,FS_Ch07Dahna,0
ID_14,DahnaArmy2,15,25,0,3,FS_Ch07Dahna,1
ID_15,DahnaArmy2,14,24,0,3,FS_Ch07Dahna,2
ID_16,DahnaArmy2,16,24,0,3,FS_Ch07Dahna,3
ID_17,Banba1,48,56,1,3,FS_Ch07Ulster,0
ID_18,Eriu1,48,57,0,3,FS_Ch07Ulster,1
ID_19,Fodla1,48,55,0,3,FS_Ch07Ulster,2
ID_20,Linda,47,56,1,4,FS_Ch07Ulster,0
ID_21,HighMage3,47,57,0,4,FS_Ch07Ulster,1
ID_22,HighMage3,47,55,0,4,FS_Ch07Ulster,2
ID_23,HighMage3,46,56,0,4,FS_Ch07Ulster,3
ID_24,HighMage3,46,57,0,4,FS_Ch07Ulster,4
ID_25,HighMage3,46,55,0,4,FS_Ch07Ulster,5
ID_26,Ares,12,30,1,5,FS_Ch07Dahna,0
ID_27,$FFFF,0,0,0,0,0,0
