.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Hawk,44,28,0,1,FS_Ch08Munster,0
ID_02,Civilian3,40,30,1,2,FS_Ch08Munster,0
ID_03,Civilian3,42,30,0,2,FS_Ch08Munster,1
ID_04,Civilian3,43,33,0,2,FS_Ch08Munster,2
ID_05,Civilian4,44,31,0,2,FS_Ch08Munster,3
ID_06,Civilian4,44,32,0,2,FS_Ch08Munster,4
ID_07,Civilian4,43,31,0,2,FS_Ch08Munster,5
ID_08,Commander27,33,59,1,1,FS_Ch08Meath,0
ID_09,ThraciaArmy3,33,58,0,1,FS_Ch08Meath,1
ID_10,ThraciaArmy3,32,58,0,1,FS_Ch08Meath,2
ID_11,ThraciaArmy3,34,58,0,1,FS_Ch08Meath,3
ID_12,ThraciaArmy3,33,57,0,1,FS_Ch08Meath,4
ID_13,ThraciaArmy3,31,58,0,1,FS_Ch08Meath,5
ID_14,ThraciaArmy3,35,58,0,1,FS_Ch08Meath,6
ID_15,ThraciaArmy3,32,57,0,1,FS_Ch08Meath,7
ID_16,ThraciaArmy3,34,57,0,1,FS_Ch08Meath,8
ID_17,ThraciaArmy3,33,56,0,1,FS_Ch08Meath,9
ID_18,Commander28,37,55,1,2,FS_Ch08Meath,0
ID_19,ThraciaArmy5,37,54,0,2,FS_Ch08Meath,1
ID_20,ThraciaArmy5,36,54,0,2,FS_Ch08Meath,2
ID_21,ThraciaArmy5,38,54,0,2,FS_Ch08Meath,3
ID_22,ThraciaArmy5,37,53,0,2,FS_Ch08Meath,4
ID_23,ThraciaArmy5,35,54,0,2,FS_Ch08Meath,5
ID_24,ThraciaArmy5,39,54,0,2,FS_Ch08Meath,6
ID_25,ThraciaArmy5,36,53,0,2,FS_Ch08Meath,7
ID_26,ThraciaArmy5,38,53,0,2,FS_Ch08Meath,8
ID_27,ThraciaArmy5,37,52,0,2,FS_Ch08Meath,9
ID_28,Altena,41,59,1,3,FS_Ch08Meath,0
ID_29,Gortach,41,58,0,3,FS_Ch08Meath,1
ID_30,ThraciaArmy4,40,58,0,3,FS_Ch08Meath,2
ID_31,ThraciaArmy4,42,58,0,3,FS_Ch08Meath,3
ID_32,ThraciaArmy4,41,57,0,3,FS_Ch08Meath,4
ID_33,ThraciaArmy4,39,58,0,3,FS_Ch08Meath,5
ID_34,ThraciaArmy4,43,58,0,3,FS_Ch08Meath,6
ID_35,ThraciaArmy4,40,57,0,3,FS_Ch08Meath,7
ID_36,ThraciaArmy4,42,57,0,3,FS_Ch08Meath,8
ID_37,ThraciaArmy4,41,56,0,3,FS_Ch08Meath,9
ID_38,Maykov,37,57,1,5,FS_Ch08Meath,0
ID_39,Commander29,35,50,1,4,FS_Ch08Meath,0
ID_40,ThraciaArmy6,35,49,0,4,FS_Ch08Meath,1
ID_41,ThraciaArmy6,34,50,0,4,FS_Ch08Meath,2
ID_42,ThraciaArmy6,36,50,0,4,FS_Ch08Meath,3
ID_43,ThraciaArmy6,34,49,0,4,FS_Ch08Meath,4
ID_44,ThraciaArmy6,36,49,0,4,FS_Ch08Meath,5
ID_45,$FFFF,0,0,0,0,0,0
