.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Judas,18,54,1,3,FS_Ch09Grutia,0
ID_02,Commander30,21,55,1,3,FS_Ch09Grutia,0
ID_03,GalatiaArmy2,20,55,0,3,FS_Ch09Grutia,2
ID_04,GalatiaArmy2,20,56,0,3,FS_Ch09Grutia,3
ID_05,GalatiaArmy2,20,54,0,3,FS_Ch09Grutia,4
ID_06,GalatiaArmy2,20,57,0,3,FS_Ch09Grutia,5
ID_07,GalatiaArmy2,20,53,0,3,FS_Ch09Grutia,6
ID_08,GalatiaArmy2,20,58,0,3,FS_Ch09Grutia,7
ID_09,GalatiaArmy2,20,52,0,3,FS_Ch09Grutia,8
ID_10,Mousa,4,1,1,2,FS_Ch09Grutia,0
ID_11,ImperialArmy4,5,1,0,2,FS_Ch09Grutia,1
ID_12,ImperialArmy4,3,1,0,2,FS_Ch09Grutia,2
ID_13,ImperialArmy3,4,2,0,2,FS_Ch09Grutia,3
ID_14,ImperialArmy3,5,2,0,2,FS_Ch09Grutia,4
ID_15,ImperialArmy3,3,2,0,2,FS_Ch09Grutia,5
ID_16,ImperialArmy2,4,3,0,2,FS_Ch09Grutia,6
ID_17,ImperialArmy2,5,3,0,2,FS_Ch09Grutia,7
ID_18,ImperialArmy2,3,3,0,2,FS_Ch09Grutia,8
ID_19,ImperialArmy1,4,4,0,2,FS_Ch09Grutia,9
ID_20,ImperialArmy1,5,4,0,2,FS_Ch09Grutia,10
ID_21,ImperialArmy1,3,4,0,2,FS_Ch09Grutia,11
ID_22,$FFFF,0,0,0,0,0,0
