.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Arion1,53,47,1,6,FS_Ch09Thracia,0
ID_02,WyvernKnight1,52,47,0,6,FS_Ch09Thracia,1
ID_03,WyvernKnight1,52,48,0,6,FS_Ch09Thracia,2
ID_04,WyvernKnight1,52,46,0,6,FS_Ch09Thracia,3
ID_05,WyvernKnight1,51,47,0,6,FS_Ch09Thracia,4
ID_06,WyvernKnight1,52,49,0,6,FS_Ch09Thracia,5
ID_07,WyvernKnight1,52,45,0,6,FS_Ch09Thracia,6
ID_08,WyvernKnight1,51,48,0,6,FS_Ch09Thracia,7
ID_09,WyvernKnight1,51,46,0,6,FS_Ch09Thracia,8
ID_10,WyvernKnight1,50,47,0,6,FS_Ch09Thracia,9
ID_11,WyvernKnight1,52,50,0,6,FS_Ch09Thracia,10
ID_12,WyvernKnight2,52,44,0,6,FS_Ch09Thracia,11
ID_13,WyvernKnight2,51,49,0,6,FS_Ch09Thracia,12
ID_14,WyvernKnight2,51,45,0,6,FS_Ch09Thracia,13
ID_15,WyvernKnight2,50,48,0,6,FS_Ch09Thracia,14
ID_16,WyvernKnight2,50,46,0,6,FS_Ch09Thracia,15
ID_17,WyvernKnight2,49,47,0,6,FS_Ch09Thracia,16
ID_18,Commander31,56,43,1,5,FS_Ch09Thracia,0
ID_19,ThraciaArmy10,56,42,0,5,FS_Ch09Thracia,1
ID_20,ThraciaArmy10,55,42,0,5,FS_Ch09Thracia,2
ID_21,ThraciaArmy10,57,42,0,5,FS_Ch09Thracia,3
ID_22,ThraciaArmy10,56,41,0,5,FS_Ch09Thracia,4
ID_23,ThraciaArmy10,54,42,0,5,FS_Ch09Thracia,5
ID_24,ThraciaArmy10,58,42,0,5,FS_Ch09Thracia,6
ID_25,ThraciaArmy10,55,41,0,5,FS_Ch09Thracia,7
ID_26,ThraciaArmy10,57,41,0,5,FS_Ch09Thracia,8
ID_27,ThraciaArmy10,56,40,0,5,FS_Ch09Thracia,9
ID_28,Commander32,52,39,1,4,FS_Ch09Thracia,0
ID_29,ThraciaArmy11,52,38,0,4,FS_Ch09Thracia,1
ID_30,ThraciaArmy11,51,38,0,4,FS_Ch09Thracia,2
ID_31,ThraciaArmy11,53,38,0,4,FS_Ch09Thracia,3
ID_32,ThraciaArmy11,52,37,0,4,FS_Ch09Thracia,4
ID_33,ThraciaArmy11,50,38,0,4,FS_Ch09Thracia,5
ID_34,ThraciaArmy11,54,38,0,4,FS_Ch09Thracia,6
ID_35,ThraciaArmy11,51,37,0,4,FS_Ch09Thracia,7
ID_36,ThraciaArmy11,53,37,0,4,FS_Ch09Thracia,8
ID_37,ThraciaArmy11,52,36,0,4,FS_Ch09Thracia,9
ID_38,Commander33,48,43,1,3,FS_Ch09Thracia,0
ID_39,ThraciaArmy12,48,42,0,3,FS_Ch09Thracia,1
ID_40,ThraciaArmy12,47,42,0,3,FS_Ch09Thracia,2
ID_41,ThraciaArmy12,49,42,0,3,FS_Ch09Thracia,3
ID_42,ThraciaArmy12,48,41,0,3,FS_Ch09Thracia,4
ID_43,ThraciaArmy12,46,42,0,3,FS_Ch09Thracia,5
ID_44,ThraciaArmy12,50,42,0,3,FS_Ch09Thracia,6
ID_45,ThraciaArmy12,47,41,0,3,FS_Ch09Thracia,7
ID_46,ThraciaArmy12,49,41,0,3,FS_Ch09Thracia,8
ID_47,ThraciaArmy12,48,40,0,3,FS_Ch09Thracia,9
ID_48,$FFFF,0,0,0,0,0,0
