.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Arvis3,15,4,1,5,FS_Ch10Chalphy,0
ID_02,Rotritter6,15,7,0,5,FS_Ch10Chalphy,1
ID_03,Rotritter5,14,6,0,5,FS_Ch10Chalphy,2
ID_04,Rotritter5,16,6,0,5,FS_Ch10Chalphy,3
ID_05,Rotritter7,15,8,0,5,FS_Ch10Chalphy,4
ID_06,Rotritter7,14,7,0,5,FS_Ch10Chalphy,5
ID_07,Rotritter7,16,7,0,5,FS_Ch10Chalphy,6
ID_08,DarkMage9,17,5,0,4,FS_Ch10Chalphy,0
ID_09,DarkMage9,17,6,0,4,FS_Ch10Chalphy,1
ID_10,DarkMage9,18,5,0,4,FS_Ch10Chalphy,2
ID_11,DarkMage9,18,6,1,4,FS_Ch10Chalphy,3
ID_12,DarkMage9,18,7,0,4,FS_Ch10Chalphy,1
ID_13,Commander34,7,14,1,1,FS_Ch10Chalphy,0
ID_14,Rotritter8,7,15,0,1,FS_Ch10Chalphy,1
ID_15,Rotritter8,8,15,0,1,FS_Ch10Chalphy,2
ID_16,Rotritter8,6,15,0,1,FS_Ch10Chalphy,3
ID_17,Rotritter9,9,15,0,1,FS_Ch10Chalphy,4
ID_18,Rotritter9,5,15,0,1,FS_Ch10Chalphy,5
ID_19,Rotritter9,10,15,0,1,FS_Ch10Chalphy,6
ID_20,Rotritter9,4,15,0,1,FS_Ch10Chalphy,7
ID_21,Commander35,9,12,1,2,FS_Ch10Chalphy,0
ID_22,Rotritter10,9,13,0,2,FS_Ch10Chalphy,1
ID_23,Rotritter10,10,13,0,2,FS_Ch10Chalphy,2
ID_24,Rotritter10,8,13,0,2,FS_Ch10Chalphy,3
ID_25,Rotritter11,11,13,0,2,FS_Ch10Chalphy,4
ID_26,Rotritter11,7,13,0,2,FS_Ch10Chalphy,5
ID_27,Rotritter11,12,13,0,2,FS_Ch10Chalphy,6
ID_28,Rotritter11,6,13,0,2,FS_Ch10Chalphy,7
ID_29,Commander36,11,10,1,3,FS_Ch10Chalphy,0
ID_30,Rotritter14,11,11,0,3,FS_Ch10Chalphy,1
ID_31,Rotritter14,12,11,0,3,FS_Ch10Chalphy,2
ID_32,Rotritter14,10,11,0,3,FS_Ch10Chalphy,3
ID_33,Rotritter13,13,11,0,3,FS_Ch10Chalphy,4
ID_34,Rotritter13,9,11,0,3,FS_Ch10Chalphy,5
ID_35,Rotritter12,14,11,0,3,FS_Ch10Chalphy,6
ID_36,Rotritter12,8,11,0,3,FS_Ch10Chalphy,7
ID_37,Child4,36,5,0,2,FS_Ch10Civilians,0
ID_38,Child4,37,6,0,2,FS_Ch10Civilians,1
ID_39,Child4,37,7,0,2,FS_Ch10Civilians,2
ID_40,Child5,37,5,0,2,FS_Ch10Civilians,3
ID_41,Child5,36,6,0,2,FS_Ch10Civilians,4
ID_42,Polemarch,35,6,0,2,FS_Ch10Civilians,0
ID_43,$FFFF,0,0,0,0,0,0
