.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,DarkBishop1,56,47,1,1,FS_Ch10Chronos,0
ID_02,Mercenary13,55,48,0,1,FS_Ch10Chronos,1
ID_03,Mercenary13,57,48,0,1,FS_Ch10Chronos,2
ID_04,Mercenary12,54,47,0,1,FS_Ch10Chronos,3
ID_05,Mercenary12,58,47,0,1,FS_Ch10Chronos,4
ID_06,DarkMage3,56,45,0,1,FS_Ch10Chronos,5
ID_07,DarkMage3,54,45,0,1,FS_Ch10Chronos,6
ID_08,DarkMage2,58,45,0,1,FS_Ch10Chronos,7
ID_09,DarkMage2,55,46,0,1,FS_Ch10Chronos,8
ID_10,DarkMage2,57,46,0,1,FS_Ch10Chronos,9
ID_11,DarkMage2,52,47,0,1,FS_Ch10Chronos,10
ID_12,DarkMage10,53,47,0,2,FS_Ch10Chronos,15
ID_13,DarkMage11,55,47,0,2,FS_Ch10Chronos,16
ID_14,DarkMage10,57,47,0,2,FS_Ch10Chronos,17
ID_15,DarkMage11,59,47,0,2,FS_Ch10Chronos,18
ID_16,Child2,38,43,0,1,FS_Ch10Civilians,0
ID_17,Child2,37,42,0,1,FS_Ch10Civilians,1
ID_18,Child2,38,42,0,1,FS_Ch10Civilians,2
ID_19,Child3,37,43,0,1,FS_Ch10Civilians,3
ID_20,Child3,38,41,0,1,FS_Ch10Civilians,4
ID_21,Child3,39,43,0,1,FS_Ch10Civilians,5
ID_22,Pirate12,50,61,0,5,FS_Ch10Miletos,0
ID_23,Pirate12,48,61,0,5,FS_Ch10Miletos,0
ID_24,Pirate12,14,61,0,5,FS_Ch10Miletos,0
ID_25,Pirate12,9,61,0,5,FS_Ch10Miletos,0
ID_26,Pirate12,39,16,0,5,FS_Ch10Miletos,0
ID_27,$FFFF,0,0,0,0,0,0
