.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Fisher,39,34,1,2,FS_ChFinalDozel,0
ID_02,DozelArmy2,39,35,0,2,FS_ChFinalDozel,1
ID_03,DozelArmy2,40,34,0,2,FS_ChFinalDozel,2
ID_04,DozelArmy2,40,35,0,2,FS_ChFinalDozel,3
ID_05,DozelArmy1,41,34,0,2,FS_ChFinalDozel,4
ID_06,DozelArmy1,41,35,0,2,FS_ChFinalDozel,5
ID_07,DozelArmy1,42,34,0,2,FS_ChFinalDozel,6
ID_08,DozelArmy1,42,35,0,2,FS_ChFinalDozel,7
ID_09,DozelArmy1,43,34,0,2,FS_ChFinalDozel,8
ID_10,DozelArmy1,43,35,0,2,FS_ChFinalDozel,9
ID_11,Brian,27,36,1,3,FS_ChFinalDozel,0
ID_12,Grauritter3,28,36,0,3,FS_ChFinalDozel,1
ID_13,Grauritter3,27,37,0,3,FS_ChFinalDozel,2
ID_14,Grauritter3,26,37,0,3,FS_ChFinalDozel,3
ID_15,Grauritter2,27,38,0,3,FS_ChFinalDozel,4
ID_16,Grauritter2,28,38,0,3,FS_ChFinalDozel,5
ID_17,Grauritter2,27,39,0,3,FS_ChFinalDozel,6
ID_18,Grauritter2,26,39,0,3,FS_ChFinalDozel,7
ID_19,Grauritter2,27,40,0,3,FS_ChFinalDozel,8
ID_20,Grauritter2,28,40,0,3,FS_ChFinalDozel,9
ID_21,Grauritter2,27,41,0,3,FS_ChFinalDozel,10
ID_22,Grauritter2,26,41,0,3,FS_ChFinalDozel,11
ID_23,Grauritter2,27,42,0,3,FS_ChFinalDozel,12
ID_24,Grauritter2,28,42,0,3,FS_ChFinalDozel,13
ID_25,Grauritter2,27,43,0,3,FS_ChFinalDozel,14
ID_26,Grauritter2,26,43,0,3,FS_ChFinalDozel,15
ID_27,Grauritter2,27,44,0,3,FS_ChFinalDozel,16
ID_28,Grauritter2,28,44,0,3,FS_ChFinalDozel,17
ID_29,Dagan,31,34,1,4,FS_ChFinalDozel,0
ID_30,$FFFF,0,0,0,0,0,0
