.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Hilda2,10,24,1,1,FS_ChFinalFriege,0
ID_02,Gelbritter3,10,25,0,1,FS_ChFinalFriege,1
ID_03,Gelbritter3,11,24,0,1,FS_ChFinalFriege,2
ID_04,Gelbritter3,9,24,0,1,FS_ChFinalFriege,3
ID_05,Gelbritter2,10,26,0,1,FS_ChFinalFriege,4
ID_06,Gelbritter2,11,25,0,1,FS_ChFinalFriege,5
ID_07,Gelbritter2,9,25,0,1,FS_ChFinalFriege,6
ID_08,Gelbritter2,12,25,0,1,FS_ChFinalFriege,7
ID_09,Gelbritter2,8,25,0,1,FS_ChFinalFriege,8
ID_10,Gelbritter2,12,26,0,1,FS_ChFinalFriege,9
ID_11,Gelbritter2,8,26,0,1,FS_ChFinalFriege,10
ID_12,Gelbritter2,11,26,0,1,FS_ChFinalFriege,11
ID_13,Gelbritter2,9,26,0,1,FS_ChFinalFriege,12
ID_14,Gelbritter2,10,27,0,1,FS_ChFinalFriege,13
ID_15,Gelbritter2,11,27,0,1,FS_ChFinalFriege,14
ID_16,Gelbritter2,9,27,0,1,FS_ChFinalFriege,15
ID_17,Gelbritter2,12,27,0,1,FS_ChFinalFriege,16
ID_18,Gelbritter2,8,27,0,1,FS_ChFinalFriege,17
ID_19,DarkBishop2,14,17,0,4,FS_ChFinalBelhalla,0
ID_20,DarkMage14,14,18,0,4,FS_ChFinalBelhalla,1
ID_21,DarkMage14,15,18,0,4,FS_ChFinalBelhalla,2
ID_22,DarkMage14,13,18,0,4,FS_ChFinalBelhalla,3
ID_23,DarkMage14,16,18,0,4,FS_ChFinalBelhalla,4
ID_24,DarkMage14,12,18,0,4,FS_ChFinalBelhalla,5
ID_25,Balan,8,20,1,2,FS_ChFinalFriege,0
ID_26,$FFFF,0,0,0,0,0,0
