.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Robertus,50,49,1,1,FS_ChFinalEdda,0
ID_02,Mercenary21,51,50,0,1,FS_ChFinalEdda,1
ID_03,Mercenary21,51,48,0,1,FS_ChFinalEdda,2
ID_04,Mercenary19,50,51,0,1,FS_ChFinalEdda,3
ID_05,Mercenary19,50,47,0,1,FS_ChFinalEdda,4
ID_06,Mercenary18,48,49,0,1,FS_ChFinalEdda,5
ID_07,Mercenary18,48,51,0,1,FS_ChFinalEdda,6
ID_08,Mercenary18,48,47,0,1,FS_ChFinalEdda,7
ID_09,Mercenary17,49,50,0,1,FS_ChFinalEdda,8
ID_10,Mercenary17,49,48,0,1,FS_ChFinalEdda,9
ID_11,Mercenary20,50,53,0,1,FS_ChFinalEdda,10
ID_12,Mercenary20,50,45,0,1,FS_ChFinalEdda,11
ID_13,Boece,57,46,1,2,FS_ChFinalEdda,0
ID_14,Mercenary23,56,46,0,2,FS_ChFinalEdda,1
ID_15,Mercenary23,56,47,0,2,FS_ChFinalEdda,2
ID_16,Mercenary23,56,45,0,2,FS_ChFinalEdda,3
ID_17,Mercenary22,56,48,0,2,FS_ChFinalEdda,4
ID_18,Mercenary22,56,44,0,2,FS_ChFinalEdda,5
ID_19,Mercenary22,56,49,0,2,FS_ChFinalEdda,6
ID_20,Mercenary22,56,43,0,2,FS_ChFinalEdda,7
ID_21,Rodin,59,46,1,3,FS_ChFinalEdda,0
ID_22,EddaArmy4,58,46,0,3,FS_ChFinalEdda,1
ID_23,EddaArmy4,59,47,0,3,FS_ChFinalEdda,2
ID_24,EddaArmy4,59,45,0,3,FS_ChFinalEdda,3
ID_25,EddaArmy1,58,48,0,3,FS_ChFinalEdda,4
ID_26,EddaArmy1,58,44,0,3,FS_ChFinalEdda,5
ID_27,EddaArmy1,57,50,0,3,FS_ChFinalEdda,6
ID_28,EddaArmy1,57,42,0,3,FS_ChFinalEdda,7
ID_29,EddaArmy2,56,50,0,3,FS_ChFinalEdda,8
ID_30,EddaArmy2,56,42,0,3,FS_ChFinalEdda,9
ID_31,EddaArmy2,58,49,0,3,FS_ChFinalEdda,10
ID_32,EddaArmy2,58,43,0,3,FS_ChFinalEdda,11
ID_33,EddaArmy3,57,51,0,3,FS_ChFinalEdda,12
ID_34,EddaArmy3,57,41,0,3,FS_ChFinalEdda,13
ID_35,EddaArmy3,56,51,0,3,FS_ChFinalEdda,14
ID_36,EddaArmy3,56,41,0,3,FS_ChFinalEdda,15
ID_37,EddaArmy3,58,47,0,3,FS_ChFinalEdda,16
ID_38,EddaArmy3,58,45,0,3,FS_ChFinalEdda,17
ID_39,Uphir,60,43,1,4,FS_ChFinalEdda,0
ID_40,DarkMage12,26,53,0,1,FS_ChFinalDozel,0
ID_41,DarkMage13,27,53,0,1,FS_ChFinalDozel,0
ID_42,DarkMage13,26,54,0,1,FS_ChFinalDozel,0
ID_43,DarkMage12,27,54,0,1,FS_ChFinalDozel,0
ID_44,DarkMage12,38,61,0,1,FS_ChFinalDozel,0
ID_45,DarkMage13,39,61,0,1,FS_ChFinalDozel,0
ID_46,DarkMage13,42,60,0,1,FS_ChFinalDozel,0
ID_47,DarkMage12,43,59,0,1,FS_ChFinalDozel,0
ID_48,$FFFF,0,0,0,0,0,0
