.structUNITEntry 1,CharacterID,DestinationX,DestinationY,GroupLeaderFlag,AI,FactionSlot,FormationID
ID_01,Scipio,3,60,1,1,FS_ChFinalYngvi,0
ID_02,Beigeritter4,3,59,0,1,FS_ChFinalYngvi,1
ID_03,Beigeritter4,2,60,0,1,FS_ChFinalYngvi,2
ID_04,Beigeritter4,4,60,0,1,FS_ChFinalYngvi,3
ID_05,Beigeritter3,3,58,0,1,FS_ChFinalYngvi,4
ID_06,Beigeritter3,2,59,0,1,FS_ChFinalYngvi,5
ID_07,Beigeritter3,4,59,0,1,FS_ChFinalYngvi,6
ID_08,Beigeritter3,1,59,0,1,FS_ChFinalYngvi,7
ID_09,Beigeritter3,5,59,0,1,FS_ChFinalYngvi,8
ID_10,Beigeritter3,1,58,0,1,FS_ChFinalYngvi,9
ID_11,Beigeritter3,5,58,0,1,FS_ChFinalYngvi,10
ID_12,Beigeritter3,2,58,0,1,FS_ChFinalYngvi,11
ID_13,Beigeritter3,4,58,0,1,FS_ChFinalYngvi,12
ID_14,Beigeritter3,3,57,0,1,FS_ChFinalYngvi,13
ID_15,Beigeritter3,2,57,0,1,FS_ChFinalYngvi,14
ID_16,Beigeritter3,4,57,0,1,FS_ChFinalYngvi,15
ID_17,Beigeritter3,1,57,0,1,FS_ChFinalYngvi,16
ID_18,Beigeritter3,5,57,0,1,FS_ChFinalYngvi,17
ID_19,$FFFF,0,0,0,0,0,0
